n,d,tau,S,Sh,norm,dtau,dtau_type,distribution,level,N,N,mean_PSD
150,50,0.3,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
150,50,0.3,I,ShJ,Supremum,0.1,single,t4,4.5,1,1000,
150,50,0,I,ShJ,Euclidean,0,none,t4,0,1,1000,
150,50,0,I,ShJ,Supremum,0,none,t4,4,1,1000,
50,50,0.6,I,ShJ,Euclidean,0.1,column,t4,1.4,1,1000,
50,50,0.6,I,ShJ,Supremum,0.1,column,t4,25.7,1,1000,
100,50,0,I,ShJ,Euclidean,0.1,column,t4,0.3,1,1000,
100,50,0,I,ShJ,Supremum,0.1,column,t4,13.1,1,1000,
50,50,0.3,I,ShJ,Euclidean,0.1,column,t4,0.2,1,1000,
50,50,0.3,I,ShJ,Supremum,0.1,column,t4,10,1,1000,
150,50,0.6,I,ShJ,Euclidean,0.2,column,t4,100,1,1000,
150,50,0.6,I,ShJ,Supremum,0.2,column,t4,100,1,1000,
50,50,0.6,I,ShJ,Euclidean,0,none,t4,0,1,1000,
50,50,0.6,I,ShJ,Supremum,0,none,t4,1.1,1,1000,
100,50,0.6,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
100,50,0.6,I,ShJ,Supremum,0.1,single,t4,2.1,1,1000,
50,50,0.3,I,ShJ,Euclidean,0.2,column,t4,12.5,1,1000,
50,50,0.3,I,ShJ,Supremum,0.2,column,t4,58.9,1,1000,
150,50,0.3,I,ShJ,Euclidean,0.1,column,t4,16.2,1,1000,
150,50,0.3,I,ShJ,Supremum,0.1,column,t4,47.4,1,1000,
150,50,0.6,I,ShJ,Euclidean,0.2,single,t4,0.2,1,1000,
150,50,0.6,I,ShJ,Supremum,0.2,single,t4,99.8,1,1000,
150,50,0,I,ShJ,Euclidean,0.1,column,t4,2.5,1,1000,
150,50,0,I,ShJ,Supremum,0.1,column,t4,23.4,1,1000,
50,50,0,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
50,50,0,I,ShJ,Supremum,0.1,single,t4,1.4,1,1000,
100,50,0.3,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
100,50,0.3,I,ShJ,Supremum,0.1,single,t4,3.4,1,1000,
100,50,0,I,ShJ,Euclidean,0,none,t4,0,1,1000,
100,50,0,I,ShJ,Supremum,0,none,t4,3.5,1,1000,
100,50,0.6,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
100,50,0.6,I,ShJ,Supremum,0.2,single,t4,90,1,1000,
100,50,0.6,I,ShJ,Euclidean,0.1,column,t4,31.2,1,1000,
100,50,0.6,I,ShJ,Supremum,0.1,column,t4,78.1,1,1000,
50,50,0.3,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
50,50,0.3,I,ShJ,Supremum,0.2,single,t4,2,1,1000,
150,50,0.3,I,ShJ,Euclidean,0.2,single,t4,0.2,1,1000,
150,50,0.3,I,ShJ,Supremum,0.2,single,t4,41.9,1,1000,
50,50,0,I,ShJ,Euclidean,0,none,t4,0,1,1000,
50,50,0,I,ShJ,Supremum,0,none,t4,1.5,1,1000,
100,50,0,I,ShJ,Euclidean,0.2,column,t4,38.1,1,1000,
100,50,0,I,ShJ,Supremum,0.2,column,t4,79.5,1,1000,
50,50,0.6,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
50,50,0.6,I,ShJ,Supremum,0.2,single,t4,6.3,1,1000,
50,50,0,I,ShJ,Euclidean,0.1,column,t4,0,1,1000,
50,50,0,I,ShJ,Supremum,0.1,column,t4,4.3,1,1000,
50,50,0.6,I,ShJ,Euclidean,0.2,column,t4,78.2,1,1000,
50,50,0.6,I,ShJ,Supremum,0.2,column,t4,98.3,1,1000,
150,50,0,I,ShJ,Euclidean,0.2,column,t4,85.5,1,1000,
150,50,0,I,ShJ,Supremum,0.2,column,t4,96.6,1,1000,
100,50,0.3,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
100,50,0.3,I,ShJ,Supremum,0.2,single,t4,13.5,1,1000,
150,50,0.6,I,ShJ,Euclidean,0.1,column,t4,76.7,1,1000,
150,50,0.6,I,ShJ,Supremum,0.1,column,t4,97.5,1,1000,
50,50,0.3,I,ShJ,Euclidean,0,none,t4,0,1,1000,
50,50,0.3,I,ShJ,Supremum,0,none,t4,2.3,1,1000,
150,50,0.6,I,ShJ,Euclidean,0,none,t4,0,1,1000,
150,50,0.6,I,ShJ,Supremum,0,none,t4,3.6,1,1000,
100,50,0.3,I,ShJ,Euclidean,0.2,column,t4,75.2,1,1000,
100,50,0.3,I,ShJ,Supremum,0.2,column,t4,96.3,1,1000,
150,50,0,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
150,50,0,I,ShJ,Supremum,0.2,single,t4,21.9,1,1000,
100,50,0,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
100,50,0,I,ShJ,Supremum,0.1,single,t4,2.4,1,1000,
100,50,0.3,I,ShJ,Euclidean,0.1,column,t4,2.5,1,1000,
100,50,0.3,I,ShJ,Supremum,0.1,column,t4,26.3,1,1000,
100,50,0,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
100,50,0,I,ShJ,Supremum,0.2,single,t4,8.2,1,1000,
150,50,0.3,I,ShJ,Euclidean,0.2,column,t4,96.1,1,1000,
150,50,0.3,I,ShJ,Supremum,0.2,column,t4,99.6,1,1000,
100,50,0.6,I,ShJ,Euclidean,0,none,t4,0.1,1,1000,
100,50,0.6,I,ShJ,Supremum,0,none,t4,2.3,1,1000,
100,50,0.6,I,ShJ,Euclidean,0.2,column,t4,100,1,1000,
100,50,0.6,I,ShJ,Supremum,0.2,column,t4,100,1,1000,
50,50,0,I,ShJ,Euclidean,0.2,column,t4,1.6,1,1000,
50,50,0,I,ShJ,Supremum,0.2,column,t4,37.7,1,1000,
150,50,0,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
150,50,0,I,ShJ,Supremum,0.1,single,t4,3.3,1,1000,
50,50,0,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
50,50,0,I,ShJ,Supremum,0.2,single,t4,2.1,1,1000,
100,50,0.3,I,ShJ,Euclidean,0,none,t4,0,1,1000,
100,50,0.3,I,ShJ,Supremum,0,none,t4,3.1,1,1000,
150,50,0.3,I,ShJ,Euclidean,0,none,t4,0.1,1,1000,
150,50,0.3,I,ShJ,Supremum,0,none,t4,4.2,1,1000,
50,50,0.6,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
50,50,0.6,I,ShJ,Supremum,0.1,single,t4,0.9,1,1000,
150,50,0.6,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
150,50,0.6,I,ShJ,Supremum,0.1,single,t4,10.4,1,1000,
50,50,0.3,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
50,50,0.3,I,ShJ,Supremum,0.1,single,t4,1.1,1,1000,
50,100,0.3,I,ShJ,Euclidean,0.1,column,t4,0,1,1000,
50,100,0.3,I,ShJ,Supremum,0.1,column,t4,7.3,1,1000,
150,100,0,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
150,100,0,I,ShJ,Supremum,0.1,single,t4,3,1,1000,
100,100,0.3,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
100,100,0.3,I,ShJ,Supremum,0.1,single,t4,3.4,1,1000,
50,100,0,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
50,100,0,I,ShJ,Supremum,0.2,single,t4,1.8,1,1000,
50,100,0.3,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
50,100,0.3,I,ShJ,Supremum,0.2,single,t4,2.1,1,1000,
100,100,0.6,I,ShJ,Euclidean,0,none,t4,0,1,1000,
100,100,0.6,I,ShJ,Supremum,0,none,t4,1.6,1,1000,
150,100,0.3,I,ShJ,Euclidean,0.1,column,t4,1.5,1,1000,
150,100,0.3,I,ShJ,Supremum,0.1,column,t4,45.3,1,1000,
50,100,0.6,I,ShJ,Euclidean,0.2,column,t4,39.2,1,1000,
50,100,0.6,I,ShJ,Supremum,0.2,column,t4,97.9,1,1000,
150,100,0.6,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
150,100,0.6,I,ShJ,Supremum,0.1,single,t4,5.1,1,1000,
50,100,0,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
50,100,0,I,ShJ,Supremum,0.1,single,t4,0.7,1,1000,
100,100,0.6,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
100,100,0.6,I,ShJ,Supremum,0.2,single,t4,75.9,1,1000,
100,100,0,I,ShJ,Euclidean,0.1,column,t4,0,1,1000,
100,100,0,I,ShJ,Supremum,0.1,column,t4,9.6,1,1000,
100,100,0.3,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
100,100,0.3,I,ShJ,Supremum,0.2,single,t4,7.1,1,1000,
50,100,0.6,I,ShJ,Euclidean,0.1,column,t4,0,1,1000,
50,100,0.6,I,ShJ,Supremum,0.1,column,t4,24.2,1,1000,
100,100,0.3,I,ShJ,Euclidean,0,none,t4,0,1,1000,
100,100,0.3,I,ShJ,Supremum,0,none,t4,2.7,1,1000,
50,100,0.3,I,ShJ,Euclidean,0,none,t4,0,1,1000,
50,100,0.3,I,ShJ,Supremum,0,none,t4,1.8,1,1000,
50,100,0.6,I,ShJ,Euclidean,0,none,t4,0,1,1000,
50,100,0.6,I,ShJ,Supremum,0,none,t4,0.3,1,1000,
150,100,0,I,ShJ,Euclidean,0.1,column,t4,0,1,1000,
150,100,0,I,ShJ,Supremum,0.1,column,t4,21.9,1,1000,
50,100,0,I,ShJ,Euclidean,0,none,t4,0,1,1000,
50,100,0,I,ShJ,Supremum,0,none,t4,1,1,1000,
100,100,0,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
100,100,0,I,ShJ,Supremum,0.1,single,t4,1.6,1,1000,
100,100,0.3,I,ShJ,Euclidean,0.1,column,t4,0,1,1000,
100,100,0.3,I,ShJ,Supremum,0.1,column,t4,23,1,1000,
150,100,0.3,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
150,100,0.3,I,ShJ,Supremum,0.2,single,t4,28.4,1,1000,
150,100,0.6,I,ShJ,Euclidean,0,none,t4,0,1,1000,
150,100,0.6,I,ShJ,Supremum,0,none,t4,2.1,1,1000,
100,100,0.6,I,ShJ,Euclidean,0.2,column,t4,99.7,1,1000,
100,100,0.6,I,ShJ,Supremum,0.2,column,t4,100,1,1000,
150,100,0.6,I,ShJ,Euclidean,0.2,column,t4,100,1,1000,
150,100,0.6,I,ShJ,Supremum,0.2,column,t4,100,1,1000,
100,100,0.3,I,ShJ,Euclidean,0.2,column,t4,33.4,1,1000,
100,100,0.3,I,ShJ,Supremum,0.2,column,t4,95.7,1,1000,
150,100,0.3,I,ShJ,Euclidean,0.2,column,t4,80.4,1,1000,
150,100,0.3,I,ShJ,Supremum,0.2,column,t4,99.5,1,1000,
50,100,0.6,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
50,100,0.6,I,ShJ,Supremum,0.2,single,t4,1.2,1,1000,
50,100,0.3,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
50,100,0.3,I,ShJ,Supremum,0.1,single,t4,1.7,1,1000,
50,100,0,I,ShJ,Euclidean,0.2,column,t4,0,1,1000,
50,100,0,I,ShJ,Supremum,0.2,column,t4,30.8,1,1000,
150,100,0,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
150,100,0,I,ShJ,Supremum,0.2,single,t4,14.2,1,1000,
100,100,0.6,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
100,100,0.6,I,ShJ,Supremum,0.1,single,t4,1.9,1,1000,
150,100,0,I,ShJ,Euclidean,0.2,column,t4,36.1,1,1000,
150,100,0,I,ShJ,Supremum,0.2,column,t4,97,1,1000,
50,100,0,I,ShJ,Euclidean,0.1,column,t4,0,1,1000,
50,100,0,I,ShJ,Supremum,0.1,column,t4,3.1,1,1000,
50,100,0.3,I,ShJ,Euclidean,0.2,column,t4,0.9,1,1000,
50,100,0.3,I,ShJ,Supremum,0.2,column,t4,54.9,1,1000,
100,100,0,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
100,100,0,I,ShJ,Supremum,0.2,single,t4,4.6,1,1000,
50,100,0.6,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
50,100,0.6,I,ShJ,Supremum,0.1,single,t4,0.7,1,1000,
150,100,0,I,ShJ,Euclidean,0,none,t4,0,1,1000,
150,100,0,I,ShJ,Supremum,0,none,t4,3.7,1,1000,
100,100,0,I,ShJ,Euclidean,0,none,t4,0,1,1000,
100,100,0,I,ShJ,Supremum,0,none,t4,2,1,1000,
150,100,0.6,I,ShJ,Euclidean,0.2,single,t4,0,1,1000,
150,100,0.6,I,ShJ,Supremum,0.2,single,t4,99.8,1,1000,
100,100,0.6,I,ShJ,Euclidean,0.1,column,t4,5.2,1,1000,
100,100,0.6,I,ShJ,Supremum,0.1,column,t4,74.2,1,1000,
150,100,0.6,I,ShJ,Euclidean,0.1,column,t4,31.3,1,1000,
150,100,0.6,I,ShJ,Supremum,0.1,column,t4,95.1,1,1000,
150,100,0.3,I,ShJ,Euclidean,0.1,single,t4,0,1,1000,
150,100,0.3,I,ShJ,Supremum,0.1,single,t4,3.7,1,1000,
100,100,0,I,ShJ,Euclidean,0.2,column,t4,4.6,1,1000,
100,100,0,I,ShJ,Supremum,0.2,column,t4,76.9,1,1000,
150,100,0.3,I,ShJ,Euclidean,0,none,t4,0,1,1000,
150,100,0.3,I,ShJ,Supremum,0,none,t4,2.4,1,1000,
100,50,0.6,Sh,SbJ,Euclidean,0.1,single,t4,0.7,1,1000,
100,50,0.6,I,SbJ,Euclidean,0.1,single,t4,2.1,1,1000,
100,50,0.6,Sh,SbJ,Supremum,0.1,single,t4,30,1,1000,
100,50,0.6,I,SbJ,Supremum,0.1,single,t4,8.2,1,1000,
150,50,0.6,Sh,SbJ,Euclidean,0,none,t4,1.3,1,1000,
150,50,0.6,I,SbJ,Euclidean,0,none,t4,3.5,1,1000,
150,50,0.6,Sh,SbJ,Supremum,0,none,t4,5,1,1000,
150,50,0.6,I,SbJ,Supremum,0,none,t4,4.2,1,1000,
100,50,0,Sh,SbJ,Euclidean,0.1,single,t4,8.5,1,1000,
100,50,0,I,SbJ,Euclidean,0.1,single,t4,8.4,1,1000,
100,50,0,Sh,SbJ,Supremum,0.1,single,t4,5.4,1,1000,
100,50,0,I,SbJ,Supremum,0.1,single,t4,5.4,1,1000,
150,50,0,Sh,SbJ,Euclidean,0,none,t4,6.5,1,1000,
150,50,0,I,SbJ,Euclidean,0,none,t4,6.6,1,1000,
150,50,0,Sh,SbJ,Supremum,0,none,t4,4.5,1,1000,
150,50,0,I,SbJ,Supremum,0,none,t4,4.4,1,1000,
150,50,0,Sh,SbJ,Euclidean,0.1,column,t4,15.2,1,1000,
150,50,0,I,SbJ,Euclidean,0.1,column,t4,55.3,1,1000,
150,50,0,Sh,SbJ,Supremum,0.1,column,t4,7.8,1,1000,
150,50,0,I,SbJ,Supremum,0.1,column,t4,29.1,1,1000,
50,50,0,Sh,SbJ,Euclidean,0.2,single,t4,8.4,1,1000,
50,50,0,I,SbJ,Euclidean,0.2,single,t4,8.2,1,1000,
50,50,0,Sh,SbJ,Supremum,0.2,single,t4,2.8,1,1000,
50,50,0,I,SbJ,Supremum,0.2,single,t4,3,1,1000,
100,50,0,Sh,SbJ,Euclidean,0,none,t4,4.4,1,1000,
100,50,0,I,SbJ,Euclidean,0,none,t4,4.6,1,1000,
100,50,0,Sh,SbJ,Supremum,0,none,t4,3.9,1,1000,
100,50,0,I,SbJ,Supremum,0,none,t4,3.9,1,1000,
150,50,0.6,Sh,SbJ,Euclidean,0.1,column,t4,12.1,1,1000,
150,50,0.6,I,SbJ,Euclidean,0.1,column,t4,95.1,1,1000,
150,50,0.6,Sh,SbJ,Supremum,0.1,column,t4,19.9,1,1000,
150,50,0.6,I,SbJ,Supremum,0.1,column,t4,97.4,1,1000,
150,50,0.3,Sh,SbJ,Euclidean,0.2,single,t4,9.2,1,1000,
150,50,0.3,I,SbJ,Euclidean,0.2,single,t4,4.9,1,1000,
150,50,0.3,Sh,SbJ,Supremum,0.2,single,t4,80.3,1,1000,
150,50,0.3,I,SbJ,Supremum,0.2,single,t4,48.8,1,1000,
50,50,0.6,Sh,SbJ,Euclidean,0,none,t4,0,1,1000,
50,50,0.6,I,SbJ,Euclidean,0,none,t4,1.9,1,1000,
50,50,0.6,Sh,SbJ,Supremum,0,none,t4,5.2,1,1000,
50,50,0.6,I,SbJ,Supremum,0,none,t4,6.7,1,1000,
100,50,0.6,Sh,SbJ,Euclidean,0.2,column,t4,85.9,1,1000,
100,50,0.6,I,SbJ,Euclidean,0.2,column,t4,100,1,1000,
100,50,0.6,Sh,SbJ,Supremum,0.2,column,t4,93.8,1,1000,
100,50,0.6,I,SbJ,Supremum,0.2,column,t4,100,1,1000,
150,50,0,Sh,SbJ,Euclidean,0.2,single,t4,9,1,1000,
150,50,0,I,SbJ,Euclidean,0.2,single,t4,8.8,1,1000,
150,50,0,Sh,SbJ,Supremum,0.2,single,t4,23.1,1,1000,
150,50,0,I,SbJ,Supremum,0.2,single,t4,23,1,1000,
50,50,0.6,Sh,SbJ,Euclidean,0.2,single,t4,0.5,1,1000,
50,50,0.6,I,SbJ,Euclidean,0.2,single,t4,1.8,1,1000,
50,50,0.6,Sh,SbJ,Supremum,0.2,single,t4,71.9,1,1000,
50,50,0.6,I,SbJ,Supremum,0.2,single,t4,25.7,1,1000,
50,50,0.3,Sh,SbJ,Euclidean,0.2,column,t4,5,1,1000,
50,50,0.3,I,SbJ,Euclidean,0.2,column,t4,65.9,1,1000,
50,50,0.3,Sh,SbJ,Supremum,0.2,column,t4,11.9,1,1000,
50,50,0.3,I,SbJ,Supremum,0.2,column,t4,77.8,1,1000,
100,50,0,Sh,SbJ,Euclidean,0.2,column,t4,24.8,1,1000,
100,50,0,I,SbJ,Euclidean,0.2,column,t4,89.1,1,1000,
100,50,0,Sh,SbJ,Supremum,0.2,column,t4,14.7,1,1000,
100,50,0,I,SbJ,Supremum,0.2,column,t4,85,1,1000,
150,50,0.6,Sh,SbJ,Euclidean,0.2,single,t4,20.4,1,1000,
150,50,0.6,I,SbJ,Euclidean,0.2,single,t4,5.9,1,1000,
150,50,0.6,Sh,SbJ,Supremum,0.2,single,t4,100,1,1000,
150,50,0.6,I,SbJ,Supremum,0.2,single,t4,100,1,1000,
50,50,0,Sh,SbJ,Euclidean,0.1,column,t4,8,1,1000,
50,50,0,I,SbJ,Euclidean,0.1,column,t4,18.6,1,1000,
50,50,0,Sh,SbJ,Supremum,0.1,column,t4,4.2,1,1000,
50,50,0,I,SbJ,Supremum,0.1,column,t4,6.6,1,1000,
100,50,0.6,Sh,SbJ,Euclidean,0.2,single,t4,6.2,1,1000,
100,50,0.6,I,SbJ,Euclidean,0.2,single,t4,5.7,1,1000,
100,50,0.6,Sh,SbJ,Supremum,0.2,single,t4,100,1,1000,
100,50,0.6,I,SbJ,Supremum,0.2,single,t4,96.8,1,1000,
100,50,0,Sh,SbJ,Euclidean,0.2,single,t4,9.5,1,1000,
100,50,0,I,SbJ,Euclidean,0.2,single,t4,9.6,1,1000,
100,50,0,Sh,SbJ,Supremum,0.2,single,t4,8.9,1,1000,
100,50,0,I,SbJ,Supremum,0.2,single,t4,9.1,1,1000,
150,50,0.3,Sh,SbJ,Euclidean,0.1,single,t4,4.7,1,1000,
150,50,0.3,I,SbJ,Euclidean,0.1,single,t4,6.1,1,1000,
150,50,0.3,Sh,SbJ,Supremum,0.1,single,t4,10.1,1,1000,
150,50,0.3,I,SbJ,Supremum,0.1,single,t4,6.2,1,1000,
50,50,0.3,Sh,SbJ,Euclidean,0.1,single,t4,3.2,1,1000,
50,50,0.3,I,SbJ,Euclidean,0.1,single,t4,4.7,1,1000,
50,50,0.3,Sh,SbJ,Supremum,0.1,single,t4,4.2,1,1000,
50,50,0.3,I,SbJ,Supremum,0.1,single,t4,5,1,1000,
50,50,0,Sh,SbJ,Euclidean,0.1,single,t4,6.6,1,1000,
50,50,0,I,SbJ,Euclidean,0.1,single,t4,6.6,1,1000,
50,50,0,Sh,SbJ,Supremum,0.1,single,t4,2.6,1,1000,
50,50,0,I,SbJ,Supremum,0.1,single,t4,2.6,1,1000,
50,50,0.3,Sh,SbJ,Euclidean,0.2,single,t4,4.5,1,1000,
50,50,0.3,I,SbJ,Euclidean,0.2,single,t4,5.5,1,1000,
50,50,0.3,Sh,SbJ,Supremum,0.2,single,t4,10.4,1,1000,
50,50,0.3,I,SbJ,Supremum,0.2,single,t4,6.6,1,1000,
50,50,0.3,Sh,SbJ,Euclidean,0.1,column,t4,1.6,1,1000,
50,50,0.3,I,SbJ,Euclidean,0.1,column,t4,15.5,1,1000,
50,50,0.3,Sh,SbJ,Supremum,0.1,column,t4,5.5,1,1000,
50,50,0.3,I,SbJ,Supremum,0.1,column,t4,18.8,1,1000,
50,50,0,Sh,SbJ,Euclidean,0,none,t4,7.6,1,1000,
50,50,0,I,SbJ,Euclidean,0,none,t4,7.7,1,1000,
50,50,0,Sh,SbJ,Supremum,0,none,t4,3.2,1,1000,
50,50,0,I,SbJ,Supremum,0,none,t4,3.3,1,1000,
100,50,0,Sh,SbJ,Euclidean,0.1,column,t4,9.8,1,1000,
100,50,0,I,SbJ,Euclidean,0.1,column,t4,37,1,1000,
100,50,0,Sh,SbJ,Supremum,0.1,column,t4,5.1,1,1000,
100,50,0,I,SbJ,Supremum,0.1,column,t4,19,1,1000,
100,50,0.6,Sh,SbJ,Euclidean,0,none,t4,0.5,1,1000,
100,50,0.6,I,SbJ,Euclidean,0,none,t4,3.8,1,1000,
100,50,0.6,Sh,SbJ,Supremum,0,none,t4,3.3,1,1000,
100,50,0.6,I,SbJ,Supremum,0,none,t4,6.5,1,1000,
150,50,0.3,Sh,SbJ,Euclidean,0.2,column,t4,52.6,1,1000,
150,50,0.3,I,SbJ,Euclidean,0.2,column,t4,99.8,1,1000,
150,50,0.3,Sh,SbJ,Supremum,0.2,column,t4,41.2,1,1000,
150,50,0.3,I,SbJ,Supremum,0.2,column,t4,99.8,1,1000,
150,50,0.6,Sh,SbJ,Euclidean,0.1,single,t4,2.5,1,1000,
150,50,0.6,I,SbJ,Euclidean,0.1,single,t4,3.8,1,1000,
150,50,0.6,Sh,SbJ,Supremum,0.1,single,t4,61,1,1000,
150,50,0.6,I,SbJ,Supremum,0.1,single,t4,20.6,1,1000,
100,50,0.6,Sh,SbJ,Euclidean,0.1,column,t4,2.7,1,1000,
100,50,0.6,I,SbJ,Euclidean,0.1,column,t4,77.8,1,1000,
100,50,0.6,Sh,SbJ,Supremum,0.1,column,t4,12.8,1,1000,
100,50,0.6,I,SbJ,Supremum,0.1,column,t4,90.2,1,1000,
150,50,0.3,Sh,SbJ,Euclidean,0,none,t4,4.5,1,1000,
150,50,0.3,I,SbJ,Euclidean,0,none,t4,4.8,1,1000,
150,50,0.3,Sh,SbJ,Supremum,0,none,t4,4.6,1,1000,
150,50,0.3,I,SbJ,Supremum,0,none,t4,6,1,1000,
150,50,0,Sh,SbJ,Euclidean,0.2,column,t4,40.3,1,1000,
150,50,0,I,SbJ,Euclidean,0.2,column,t4,98.3,1,1000,
150,50,0,Sh,SbJ,Supremum,0.2,column,t4,27.5,1,1000,
150,50,0,I,SbJ,Supremum,0.2,column,t4,97.9,1,1000,
150,50,0.3,Sh,SbJ,Euclidean,0.1,column,t4,8.4,1,1000,
150,50,0.3,I,SbJ,Euclidean,0.1,column,t4,53.3,1,1000,
150,50,0.3,Sh,SbJ,Supremum,0.1,column,t4,5.5,1,1000,
150,50,0.3,I,SbJ,Supremum,0.1,column,t4,54.2,1,1000,
50,50,0.6,Sh,SbJ,Euclidean,0.2,column,t4,4.8,1,1000,
50,50,0.6,I,SbJ,Euclidean,0.2,column,t4,98.6,1,1000,
50,50,0.6,Sh,SbJ,Supremum,0.2,column,t4,45.4,1,1000,
50,50,0.6,I,SbJ,Supremum,0.2,column,t4,99.6,1,1000,
100,50,0.3,Sh,SbJ,Euclidean,0.1,column,t4,5,1,1000,
100,50,0.3,I,SbJ,Euclidean,0.1,column,t4,33.9,1,1000,
100,50,0.3,Sh,SbJ,Supremum,0.1,column,t4,6.6,1,1000,
100,50,0.3,I,SbJ,Supremum,0.1,column,t4,39.4,1,1000,
150,50,0.6,Sh,SbJ,Euclidean,0.2,column,t4,99.6,1,1000,
150,50,0.6,I,SbJ,Euclidean,0.2,column,t4,100,1,1000,
150,50,0.6,Sh,SbJ,Supremum,0.2,column,t4,99.4,1,1000,
150,50,0.6,I,SbJ,Supremum,0.2,column,t4,100,1,1000,
100,50,0.3,Sh,SbJ,Euclidean,0.2,column,t4,25,1,1000,
100,50,0.3,I,SbJ,Euclidean,0.2,column,t4,95.3,1,1000,
100,50,0.3,Sh,SbJ,Supremum,0.2,column,t4,26.7,1,1000,
100,50,0.3,I,SbJ,Supremum,0.2,column,t4,97.9,1,1000,
100,50,0.3,Sh,SbJ,Euclidean,0,none,t4,4.5,1,1000,
100,50,0.3,I,SbJ,Euclidean,0,none,t4,5.8,1,1000,
100,50,0.3,Sh,SbJ,Supremum,0,none,t4,4.5,1,1000,
100,50,0.3,I,SbJ,Supremum,0,none,t4,6.3,1,1000,
100,50,0.3,Sh,SbJ,Euclidean,0.1,single,t4,4.2,1,1000,
100,50,0.3,I,SbJ,Euclidean,0.1,single,t4,3.9,1,1000,
100,50,0.3,Sh,SbJ,Supremum,0.1,single,t4,7.7,1,1000,
100,50,0.3,I,SbJ,Supremum,0.1,single,t4,6.4,1,1000,
100,50,0.3,Sh,SbJ,Euclidean,0.2,single,t4,6.4,1,1000,
100,50,0.3,I,SbJ,Euclidean,0.2,single,t4,4.4,1,1000,
100,50,0.3,Sh,SbJ,Supremum,0.2,single,t4,47.7,1,1000,
100,50,0.3,I,SbJ,Supremum,0.2,single,t4,19.2,1,1000,
50,50,0.6,Sh,SbJ,Euclidean,0.1,single,t4,0.2,1,1000,
50,50,0.6,I,SbJ,Euclidean,0.1,single,t4,1.8,1,1000,
50,50,0.6,Sh,SbJ,Supremum,0.1,single,t4,8.4,1,1000,
50,50,0.6,I,SbJ,Supremum,0.1,single,t4,6.1,1,1000,
50,50,0,Sh,SbJ,Euclidean,0.2,column,t4,10.9,1,1000,
50,50,0,I,SbJ,Euclidean,0.2,column,t4,57.5,1,1000,
50,50,0,Sh,SbJ,Supremum,0.2,column,t4,7.8,1,1000,
50,50,0,I,SbJ,Supremum,0.2,column,t4,48.6,1,1000,
50,50,0.6,Sh,SbJ,Euclidean,0.1,column,t4,0.1,1,1000,
50,50,0.6,I,SbJ,Euclidean,0.1,column,t4,27,1,1000,
50,50,0.6,Sh,SbJ,Supremum,0.1,column,t4,5.4,1,1000,
50,50,0.6,I,SbJ,Supremum,0.1,column,t4,52.6,1,1000,
150,50,0,Sh,SbJ,Euclidean,0.1,single,t4,6.3,1,1000,
150,50,0,I,SbJ,Euclidean,0.1,single,t4,6.1,1,1000,
150,50,0,Sh,SbJ,Supremum,0.1,single,t4,4.8,1,1000,
150,50,0,I,SbJ,Supremum,0.1,single,t4,5.1,1,1000,
50,50,0.3,Sh,SbJ,Euclidean,0,none,t4,2.7,1,1000,
50,50,0.3,I,SbJ,Euclidean,0,none,t4,4.9,1,1000,
50,50,0.3,Sh,SbJ,Supremum,0,none,t4,3.9,1,1000,
50,50,0.3,I,SbJ,Supremum,0,none,t4,5.2,1,1000,
150,100,0,Sh,SbJ,Euclidean,0.2,single,t4,9.3,1,1000,
150,100,0,I,SbJ,Euclidean,0.2,single,t4,9.1,1,1000,
150,100,0,Sh,SbJ,Supremum,0.2,single,t4,14.4,1,1000,
